"業種(飲食業）","業種（宿泊業）","施設名称","施設名称カナ","施設郵便番号","施設住所","施設住所(方書)","認証日","施設住所市町村"
"〇","","あ゛～","ア゛～","9900044","山形市木の実町6-32","","2021/06/22","山形市"
"〇","","アイアイひらた　お食事処　南麓","アイアイヒラタ　オショクジドコロ　ナンロク","9996724","酒田市山楯字南山32-4","","2021/05/20","酒田市"
"〇","","あいこう亭","アイコウテイ","9900831","山形市西田2-24-55","","2021/09/15","山形市"
"〇","","Icecafe弘水-KOSUI-","アイスカフェコウスイ","9940026","天童市東本町3-6-39","","2021/05/08","天童市"
"〇","","ISLAND PEAK","アイランドピーク","9900043","山形市本町1-7-24","","2021/06/04","山形市"
"〇","","アイリーンズ　キッチン","アイリーンズ　キッチン","9900057","山形市宮町3-7-34","","2021/05/12","山形市"
"〇","","葵","アオイ","9900833","山形市春日町6-2","","2021/06/18","山形市"
"〇","","赤ひげ　さくら家","アカヒゲ　サクラヤ","9993762","東根市神町北1-2-12","","2021/10/18","東根市"
"","〇","赤湯温泉　丹波館","アカユオンセン　タンバカン","9992211","南陽市赤湯1014","","2021/09/14","南陽市"
"〇","","赤湯温泉　やきにく屋さくらんぼ","アカユオンセン　ヤキニクヤサクランボ","9992211","南陽市赤湯944-2","","2021/06/15","南陽市"
"〇","","赤湯ラーメン龍上海　医大前店","アカユラーメンリュウシャンハイ　イダイマエテン","9902331","山形市飯田西4-1-20","","2021/06/16","山形市"
"〇","","秋しの","アキシノ","9900042","山形市七日町2-3-22","高橋ビル3番館2F","2021/07/28","山形市"
"〇","","AquA（アクア）","アクア","9998232","酒田市市条字荒瀬7-5","","2021/09/16","酒田市"
"〇","","AXEL","アクセル","9992211","南陽市赤湯420-6","サンパレスビル1F","2021/07/06","南陽市"
"〇","","Accue Marie TAMAHIME","アクーユマリエタマヒメ","9960002","新庄市金沢2136-1","","2021/07/29","新庄市"
"〇","","あけぼの三丁目","アケボノサンチョウメ","9960025","新庄市若葉町14-36","リーフムーンビル2Ｆ","2021/10/18","新庄市"
"〇","","亞呉屋　山形本店","アゴヤ　ヤマガタホンテン","9902446","山形市白山1-9-15","","2021/10/11","山形市"
"〇","","あさがらす","アサガラス","9993511","河北町谷地己819-1","","2021/10/06","河北町"
"","〇","朝日山の家","アサヒヤマノイエ","9900721","西川町大字大井沢1807-1","","2021/08/25","西川町"
"〇","","足湯カフェ　チットモッシェ","アシユカフェ　チットモッシェ","9997204","鶴岡市湯温海甲170","","2021/08/06","鶴岡市"
"〇","","味蔵　中国料理","アジクラ　チュウゴクリョウリ","9910003","寒河江市大字西根字上河原96-1","","2021/07/28","寒河江市"
"〇","","味工房　八月","アジコウボウ　ハヅキ","9980043","酒田市本町3-9-1","","2021/10/19","酒田市"
"〇","","味工房すず","アジコウボウスズ","9900833","山形市春日町8-5","","2021/07/02","山形市"
"〇","","味だより参田","アジダヨリサンタ","9990121","川西町大字上小松1654","","2021/10/14","川西町"
"〇","","味処　川なり","アジドコロ　カワナリ","9900039","山形市香澄町1-21-3","","2021/07/05","山形市"
"〇","","味処　佐野","アジドコロ　サノ","9993134","上山市二日町9-15","","2021/09/28","上山市"
"〇","","味処　のろ川","アジドコロ　ノロガワ","9900076","山形市平久保40-1","","2021/08/20","山形市"
"〇","","味処　藤よし","アジドコロ　フジヨシ","9991363","小国町大字小国小坂町277","","2021/07/09","小国町"
"〇","","味どころ　ふる山","アジドコロ　フルヤマ","9920012","米沢市金池5-6-17","","2021/06/10","米沢市"
"〇","","味処　湯楽亭（べに花温泉ひなの湯内）","アジドコロ　ユラクテイ","9993511","河北町谷地字下野269","","2021/08/31","河北町"
"〇","","味処 神通峡（奥おおえ　柳川温泉内）","アジドコロジンツウキョウ　オクオオエ　ヤナガワオンセンナイ","9901121","大江町柳川1502-3","","2021/10/07","大江町"
"〇","","味処たこ八","アジドコロタコハチ","9930007","長井市本町2-4-39-2","","2021/10/19","長井市"
"〇","","味処松乃屋","アジドコロマツノヤ","9993125","上山市金生東2-13-2","","2021/08/24","上山市"
"〇","","味処わきち","アジドコロワキチ","9910003","寒河江市大字西根石川西379-1","","2021/07/16","寒河江市"
"〇","","味な店　成華","アジナミセ　セイカ","9970404","鶴岡市下名川字落合27","","2021/09/24","鶴岡市"
"〇","","味の里　ばんだい","アジノサト　バンダイ","9900032","山形市小姓町3-8","","2021/06/30","山形市"
"〇","","味の園","アジノソノ","9900047","山形市旅篭町1-8-11","","2021/05/12","山形市"
"〇","","味の店　スズラン","アジノミセ　スズラン","9900039","山形市香澄町2-10-5","","2021/07/21","山形市"
"〇","","味の店　竹屋","アジノミセ　タケヤ","9900827","山形市城南町2-6-7","","2021/09/13","山形市"
"〇","","味の店　柚子庵","アジノミセ　ユズアン","9971301","三川町横山字袖東1-11","","2021/10/18","三川町"
"〇","","味の店　わらべ","アジノミセ　ワラベ","9993765","東根市神町南1-12-1","","2021/07/26","東根市"
"〇","","味屋　どん","アジヤ　ドン","9993717","東根市一本木1-5-24","","2021/10/18","東根市"
"〇","","味楽　櫂","アジラク　カイ","9970824","鶴岡市日枝鳥居上40-1","","2021/07/06","鶴岡市"
"〇","","味わい","アジワイ","9902339","山形市成沢西5-5-5","","2021/07/14","山形市"
"〇","","あすなろキッチン工房　木らら","アスナロキッチンコウボウ　キララ","9980858","酒田市緑町10-20","","2021/09/08","酒田市"
"〇","","AZ3（アズミ）","アズミ","9960025","新庄市若葉町14-45","サンボックス2F","2021/05/18","新庄市"
"〇","","Accha!","アチャ","9960023","新庄市沖の町1-2","","2021/08/02","新庄市"
"〇","","あったまりランド深堀　お食事処さくら","アッタマリランドフカボリ　オショクジドコロサクラ","9994134","大石田町大字豊田884-1","","2021/08/31","大石田町"
"","〇","あったまりランド深堀　宿泊施設　虹の館","アッタマリランドフカボリ　シュクハクシセツ　ニジノヤカタ","9994134","大石田町大字豊田884-1","","2021/08/31","大石田町"
"〇","","アップルマルシェ","アップルマルシェ","9901411","朝日町大字和合2724","","2021/09/14","朝日町"
"","〇","あつみ温泉高見屋別邸久遠","アツミオンセンタカミヤベッテイクオン","9997204","鶴岡市湯温海字湯之尻83-3","","2021/10/07","鶴岡市"
"","〇","あつみホテル　温海荘","アツミホテルアツミソウ","9997204","鶴岡市湯温海甲188","","2021/05/08","鶴岡市"
"","〇","アパホテル〈山形駅前大通〉","アパホテルヤマガタエキマエオオドオリ","9900031","山形市十日町4-1-8","","2021/08/24","山形市"
"","〇","アパホテル〈山形鶴岡駅前〉","アパホテルヤマガタツルオカエキマエ","9970015","鶴岡市末広町5-20","","2021/09/24","鶴岡市"
"〇","","アビー","アビー","9900042","山形市七日町2-1-24","","2021/10/13","山形市"
"〇","","あぶりや ","アブリヤ","9920045","米沢市中央1-14-23","","2021/10/06","米沢市"
"〇","","阿部支店","アベシテン","9996105","最上町大字富沢1156-2","","2021/06/18","最上町"
"〇","","Amusement bar ZERO","アミューズメント　バー　ゼロ","9980044","酒田市中町3-2-8","阿部興産ビルＢ1","2021/09/21","酒田市"
"〇","","アメリカンダイニング　チェルシー&コウ","アメリカンダイニングチェルシーアンドコウ","9900047","山形市旅籠町2-2-26","庄司ビルB1F","2021/07/27","山形市"
"〇","","あやめ寿し","アヤメズシ","9900021","山形市小白川町5-1-6","","2021/08/10","山形市"
"〇","","あやめそば舟越","アヤメソバフナコシ","9930082","長井市舟場5-18-2","","2021/10/06","長井市"
"〇","","あらきそば","アラキソバ","9950111","村山市大久保甲65","","2021/07/19","村山市"
"〇","","新政酒蔵","アラマササカグラ","9900861","山形市香澄町1-14-1","","2021/08/05","山形市"
"〇","","亜梨蘭","アリラン","9960025","新庄市若葉町16-15","","2021/05/24","新庄市"
"〇","〇","アルブ天元台","アルブテンゲンダイ","9921461","米沢市大字李山12118-6","","2021/06/18","米沢市"
"〇","","アンカリング","アンカリング","9900075","山形市落合町2377-9","","2021/06/21","山形市"
"〇","","アントンズカフェ","アントンズカフェ","9900810","山形市馬見ヶ崎3-1-1","","2021/07/28","山形市"
"〇","","アンドマークカフェ","アンドマークカフェ","9900861","山形市江俣2-1-29","","2021/05/27","山形市"
"〇","","Infini Cafe","アンフィニ　カフェ","9900829","山形市五日町7-13","T-AVENUE101","2021/06/02","山形市"
"〇","","Avantgarde Be","アヴァンギャルドビー","9900039","山形市香澄町1-10-1","ホテルクラウンヒルズB1F","2021/07/09","山形市"
"〇","","THE ARCHIGRAM British Pub & Cafe","アーキグラム　ブリティッシュ　パブアンドカフェ","9900031","山形市十日町2-1-35","","2021/07/15","山形市"
"〇","","R","アール","9970034","鶴岡市本町2-12-10","","2021/06/30","鶴岡市"
"","〇","R・ライズ","アール・ライズ","9900731","西川町大字月岡435-1","","2021/08/02","西川町"
"〇","","夜来香","イエライシャン","9992211","南陽市赤湯968","本田ビル1F","2021/10/19","南陽市"
"〇","","いがもちの里　さんべ","イガモチノサト　サンベ","9902301","山形市蔵王温泉1221-2","","2021/07/05","山形市"
"〇","","五十嵐商店","イガラシショウテン","9995312","真室川町新町129-16","","2021/10/21","真室川町"
"〇","","活味　魚友","イキアジ　ウオトモ","9900042","山形市七日町4-8-7","","2021/08/02","山形市"
"〇","","いきいきランド　ぽんぽ館","イキイキランド　ポンポカン","9996314","戸沢村大字松坂155","","2021/07/16","戸沢村"
"〇","〇","粋の宿　招湯苑","イキノヤド　ショウトウエン","9920039","米沢市門東町1-4-5","","2021/07/16","米沢市"
"〇","","池田食堂","イケダショクドウ","9970034","鶴岡市本町3-9-6","","2021/09/27","鶴岡市"
"〇","","いこい寿し","イコイズシ","9920351","高畠町大字高畠688","","2021/08/20","高畠町"
"〇","","いこい処　冨美館","イコイドコロ　フミヤ","9900039","山形市香澄町1-13-17","YTビル1丁目ビル","2021/07/29","山形市"
"","〇","いこいの宿　農","イコイノヤド　ノウ","9970023","鶴岡市鳥居町34-16","","2021/05/27","鶴岡市"
"〇","","イサオティーノ","イサオティーノ","9900042","山形市七日町2-4-8","","2021/10/20","山形市"
"〇","","勇み寿司","イサミズシ","9920473","南陽市池黒1520-32","","2021/10/14","南陽市"
"〇","","居酒PUB　Wai Wai","イザカパブ　ワイワイ","9900039","山形市香澄町1-9-6","C&Dビル5F","2021/06/14","山形市"
"〇","","居酒屋　秋田人","イザカヤ　アキタビト","9993765","東根市神町南1-1-16","","2021/08/11","東根市"
"〇","","居酒屋　味山海","イザカヤ　アジサンカイ","9900043","山形市本町2-4-21","","2021/05/08","山形市"
"〇","","居酒屋　磯舟","イザカヤ　イソブネ","9995402","金山町金山440-6","","2021/09/13","金山町"
"〇","","居酒屋　糸車","イザカヤ　イトグルマ","9900039","山形市香澄町3-5-20","","2021/07/29","山形市"
"〇","","居酒家　今　ima","イザカヤ　イマ","9998235","酒田市観音寺字町後7-50","","2021/08/26","酒田市"
"〇","","居酒屋　魚新","イザカヤ　ウオシン","9910053","寒河江市元町1-13-11","","2021/07/13","寒河江市"
"〇","","居酒屋　魚忠","イザカヤ　ウオチュウ","9997631","鶴岡市八色木字前田元5-2","","2021/07/07","鶴岡市"
"〇","","居酒屋　おおたき","イザカヤ　オオタキ","9900038","山形市幸町12-38","","2021/06/29","山形市"
"〇","","居酒屋　おかめ","イザカヤ　オカメ","9900042","山形市七日町3-4-26","","2021/06/21","山形市"
"〇","","居酒屋　鬼次","イザカヤ　オニジ","9900813","山形市桧町4-7-1","","2021/09/08","山形市"
"〇","","居酒屋　吉左右","イザカヤ　キッソウ","9900043","山形市本町2-3-57","","2021/09/08","山形市"
"〇","","居酒屋　串でん","イザカヤ　クシデン","9900039","山形市香澄町1-15-20","","2021/06/16","山形市"
"〇","","居酒屋　倉","イザカヤ　クラ","9900038","山形市幸町6-13","板垣ビル1F","2021/06/16","山形市"
"〇","","居酒屋　廣月","イザカヤ　コウゲツ","9902443","山形市南三番町1-1","","2021/06/22","山形市"
"〇","","居酒屋　こや","イザカヤ　コヤ","9960023","新庄市沖の町1-25","","2021/05/25","新庄市"
"〇","","居酒屋　こんの","イザカヤ　コンノ","9900311","山辺町近江5-43","","2021/10/19","山辺町"
"〇","","居酒屋　ごう","イザカヤ　ゴウ","9900032","山形市小姓町1-14","","2021/07/20","山形市"
"〇","","居酒屋　佐助","イザカヤ　サスケ","9998521","遊佐町吹浦字下川原10-5","","2021/08/10","遊佐町"
"〇","","居酒屋　庄兵衛","イザカヤ　ショウベイ","9902332","山形市飯田3-1-2","","2021/08/04","山形市"
"〇","","居酒屋　志らせ","イザカヤ　シラセ","9992211","南陽市赤湯793-1","","2021/10/05","南陽市"
"〇","","居酒屋　新我が家","イザカヤ　シンワガヤ","9900038","山形市幸町5-12","","2021/07/30","山形市"
"〇","","居酒屋　たいむ","イザカヤ　タイム","9993511","河北町谷地甲108","","2021/09/15","河北町"
"〇","","居酒屋　たかもり","イザカヤ　タカモリ","9970034","鶴岡市本町3-1-39","","2021/08/25","鶴岡市"
"〇","","居酒屋　大都会","イザカヤ　ダイトカイ","9992262","南陽市若狭郷屋236-1","","2021/08/25","南陽市"
"〇","","居酒屋　だんだん","イザカヤ　ダンダン","9960025","新庄市若葉町14-36","リーフムーンビル1F","2021/06/16","新庄市"
"〇","","居酒屋　つどい","イザカヤ　ツドイ","9910031","寒河江市本町1-3-7","第一フォレスト2F","2021/08/24","寒河江市"
"〇","","居酒屋　田々","イザカヤ　デンデン","9900039","山形市香澄町1-9-1","珍味ビル2F北","2021/06/07","山形市"
"〇","","居酒家　土間土間　山形店","イザカヤ　ドマドマ　ヤマガタテン","9900039","山形市香澄町2-3-35","ヤマキビル1F","2021/06/25","山形市"
"〇","","居酒屋　ひょうたん","イザカヤ　ヒョウタン","9900039","山形市香澄町1-8-8","第一ビル1F","2021/06/24","山形市"
"〇","","居酒屋　廣巳","イザカヤ　ヒロミ","9900523","寒河江市八鍬784-8","","2021/08/19","寒河江市"
"〇","","居酒屋　ふあんたじぃ","イザカヤ　ファンタジィ","9993153","上山市十日町1-25","","2021/09/02","上山市"
"〇","","居酒屋　豊饒","イザカヤ　ホウジョウ","9930001","長井市ままの上4-8","","2021/10/25","長井市"
"〇","","居酒屋　蛍","イザカヤ　ホタル","9996105","最上町大字富沢900","","2021/06/09","最上町"
"〇","","居酒屋　北海　漁舟群","イザカヤ　ホッカイ　ギョセングン","9900038","山形市幸町7-34","","2021/08/18","山形市"
"〇","","居酒屋　まだこえちゃ","イザカヤ　マダコエチャ","9950034","村山市楯岡五日町16-1","","2021/09/03","村山市"
"〇","","居酒屋　満丸","イザカヤ　マンマル","9900042","山形市七日町4-15-38","","2021/07/05","山形市"
"〇","","居酒屋　南","イザカヤ　ミナミ","9994231","尾花沢市北町1-1-5","","2021/10/20","尾花沢市"
"〇","","居酒屋　雅","イザカヤ　ミヤビ","9900023","山形市松波2-2-8","マルヨシビルA棟1F北","2021/06/14","山形市"
"〇","","居酒屋　八重","イザカヤ　ヤエ","9900042","山形市七日町3-4-24","地下1階","2021/10/14","山形市"
"〇","","居酒屋　やま美","イザカヤ　ヤマミ","9900831","山形市西田2-24-55","","2021/06/25","山形市"
"〇","","居酒屋　ゆあーず","イザカヤ　ユアーズ","9920027","米沢市駅前1-1-63","","2021/10/11","米沢市"
"〇","","居酒屋　夕べ","イザカヤ　ユウベ","9910031","寒河江市本町1-5-21","","2021/07/21","寒河江市"
"〇","","居酒屋　遊らく","イザカヤ　ユラク","9900861","山形市江俣5-3-39","","2021/09/13","山形市"
"〇","","居酒屋　芳屋","イザカヤ　ヨシヤ","9900039","山形市香澄町3-1-27","2F","2021/06/11","山形市"
"〇","","居酒屋　より道","イザカヤ　ヨリミチ","9970813","鶴岡市千石町7-35","","2021/07/28","鶴岡市"
"〇","","居酒屋　夜の靴","イザカヤ　ヨルノクツ","9997548","鶴岡市みずほ23-1","","2021/06/29","鶴岡市"
"〇","","居酒屋　れんがや","イザカヤ　レンガヤ","9960025","新庄市若葉町17-8","","2021/09/09","新庄市"
"〇","","居酒屋　六歌仙","イザカヤ　ロッカセン","9980023","酒田市幸町2-3-2","","2021/06/21","酒田市"
"〇","","居酒家　和多利","イザカヤ　ワタリ","9997781","庄内町余目字上猿田189-5","","2021/09/27","庄内町"
"〇","","居酒屋　和利勘","イザカヤ　ワリカン","9900054","山形市六日町7-21","","2021/08/20","山形市"
"〇","","居酒屋「かなりあ」","イザカヤ「カナリア」","9980037","酒田市日吉町1-3-30","","2021/06/28","酒田市"
"〇","","居酒屋うらら","イザカヤウララ","9960025","新庄市若葉町17-63","","2021/06/22","新庄市"
"〇","","居酒屋えん","イザカヤエン","9920045","米沢市中央1-14-1","","2021/10/22","米沢市"
"〇","","居酒屋かかし","イザカヤカカシ","9993231","上山市石堂1-1","","2021/08/17","上山市"
"〇","","居酒屋割烹　はやし家","イザカヤカッポウ　ハヤシヤ","9900039","山形市香澄町1-21-24","","2021/07/05","山形市"
"〇","","居酒屋カラオケ　ソウル　ソウル","イザカヤカラオケ　ソウル　ソウル","9992211","南陽市赤湯766-1　","第2湯の町ビル1F","2021/09/09","南陽市"
"〇","","居酒屋くぼた","イザカヤクボタ","9902481","山形市あかねヶ丘1-12-7","","2021/07/29","山形市"
"〇","","居酒屋　くる味","イザカヤクルミ","9900039","山形市香澄町3-5-17","","2021/08/03","山形市"
"〇","","居酒屋　高太郎","イザカヤコウタロウ","9993142","上山市沢丁7-10","","2021/08/06","上山市"
"〇","","居酒屋旬肴　ろじうら","イザカヤシュンキ　ロジウラ","9900042","山形市七日町4-15-38","","2021/05/13","山形市"
"〇","","居酒屋しょうじ","イザカヤショウジ","9997781","庄内町余目字三人谷地4","","2021/10/19","庄内町"
"〇","","居酒屋・スナック　R（あーる）","イザカヤスナック　アール","9900039","山形市香澄町1-4-7","清野ビル2F","2021/08/23","山形市"
"〇","","居酒屋スナック　千慧","イザカヤスナック　チエ","9900042","山形市七日町4-11-4","ナイトイン花小路西1F","2021/08/18","山形市"
"〇","","居酒屋・Snack・Cafe・Barアートシーン","イザカヤスナックカフェバーアートシーン","9900032","山形市小姓町3-8","ビルドサカイ1-C","2021/10/11","山形市"
"〇","","居酒屋スナックわらべ","イザカヤスナックワラベ","9900042","山形市七日町3-3-11","","2021/07/20","山形市"
"〇","","居酒屋ダイニング　奏宴","イザカヤダイニング　ソウエン","9930007","長井市本町1-3-18","","2021/08/10","長井市"
"〇","","居酒屋　ひげ坊主","イザカヤヒゲボウズ","9997781","庄内町余目字上猿田16-2","","2021/09/06","庄内町"
"〇","","居酒屋ふうみ","イザカヤフウミ","9970035","鶴岡市馬場町6-44-101","","2021/08/19","鶴岡市"
"〇","","居酒屋ふじや","イザカヤフジヤ","9997205","鶴岡市温海戊359","","2021/10/22","鶴岡市"
"〇","","居酒や牧場うまや","イザカヤボクジョウウウマヤ","9906042","山形市七日町2-3-14","ホーユービルF号室","2021/07/28","山形市"
"〇","","居酒屋真魚・カラオケポセイドン","イザカヤマオ・カラオケポセイドン","9997126","鶴岡市鼠ヶ関字興屋239","","2021/06/15","鶴岡市"
"〇","","居酒屋　桃太郎","イザカヤモモタロウ","9902211","山形市大字十文字2187-9","","2021/07/16","山形市"
"〇","","居酒屋やま喜","イザカヤヤマキ","9940026","天童市東本町2-9-5","","2021/08/27","天童市"
"","〇","石井ペンション","イシイペンション","9993114","上山市永野字蔵王山2427","","2021/07/30","上山市"
"〇","","石焼ステーキ贅　山形嶋店","イシヤキステーキゼイ　ヤマガタシマテン","9900885","山形市嶋北2-5-10","","2021/09/21","山形市"
"〇","","居食ダイニング　楽や","イショクダイニング　ラクヤ","9993702","東根市温泉町1-10-3","","2021/10/11","東根市"
"〇","","居食家　実の房","イショクヤ　ミノボウ","9993711","東根市中央2-3-30","","2021/09/03","東根市"
"〇","","イタリア料理SIATTACA","イタリアリョウリシャッタカ","9920832","白鷹町大字荒砥乙553-1","","2021/09/17","白鷹町"
"〇","","イタリアンレストランリーガル","イタリアンレストランリーガル","9920039","米沢市門東町3-1-47","SHRビル","2021/10/22","米沢市"
"〇","","一番纏","イチバンマトイ","9995402","金山町金山514-2","","2021/07/01","金山町"
"〇","","一葉本店","イチヨウホンテン","9960027","新庄市本町4-8","","2021/08/30","新庄市"
"〇","","一楽","イチラク","9960078","新庄市新町9-18","","2021/06/30","新庄市"
"〇","","いちわ食堂","イチワショクドウ","9930007","長井市本町2-4-40","","2021/09/09","長井市"
"〇","","いっこ寿司","イッコズシ","9900039","山形市香澄町1-10-1","ブリーズベイ山形ビル1F","2021/06/09","山形市"
"〇","","ISSYS cafe","イッシーズカフェ","9902421","山形市上桜田5-8-15","","2021/09/09","山形市"
"〇","","一杯屋","イッパイヤ","9910031","寒河江市本町2-9-6","","2021/10/08","寒河江市"
"〇","","一福亭","イップクテイ","9994224","尾花沢市新町3-9-23","","2021/07/15","尾花沢市"
"〇","","いつもの場所　江俣店","イツモノトコロ　エマタテン","9900861","山形市江俣3-18-24","","2021/05/31","山形市"
"〇","","いつもの場所　大野目店","イツモノトコロ　ダイノメテン","9900061","山形市五十鈴2-1-5","","2021/06/21","山形市"
"〇","","いつもの場所　七日町店","イツモノトコロ　ナノカマチテン","9900042","山形市七日町2-7-6","2F","2021/06/16","山形市"
"","〇","いづみ荘","イヅミソウ","9996105","最上町大字富沢1005-7","","2021/05/27","最上町"
"〇","","いのこ家　山形田","イノコヤヤマガタダ","9908580","山形市城南町1-1-1","霞城セントラル1F","2021/09/07","山形市"
"〇","","いまい食堂","イマイショクドウ","9996101","最上町大字向町283-4","","2021/09/07","最上町"
"〇","","いまから","イマカラ","9900042","山形市七日町3-2-22","やきとりセンタービル2F","2021/06/04","山形市"
"","〇","いやしの湯『赤倉荘』","イヤシノユ　アカクラソウ","9996105","最上町富澤字湯ノ原819-6","","2021/08/26","最上町"
"〇","","Iris","イリス","9900043","山形市本町2-3-57","樫の木荘1F-2","2021/07/07","山形市"
"〇","","いる・くお～れ","イル　クオ～レ","9902453","山形市若宮3-3-4","","2021/06/02","山形市"
"〇","","IL BLU　遊学館","イルブル　ユウガクカン","9900041","山形市緑町1-2-36","遊学館1F","2021/07/13","山形市"
"〇","","イル・レガーレ","イル・レガーレ","9992262","南陽市若狭郷屋506-2","","2021/08/06","南陽市"
"〇","","いろはにほへと鶴岡駅前店","イロハニホヘト　ツルオカエキマエテン","9970015","鶴岡市末広町6-2","ちぐさビル1F","2021/10/21","鶴岡市"
"〇","","いろはにほへと山形駅前店","イロハニホヘト　ヤマガタエキマエテン","9900039","山形市香澄町3-1-9","後藤ビル　１F","2021/10/06","山形市"
"〇","","いろはにほへと米沢中央店","イロハニホヘト　ヨネザワチュウオウテン","9920039","米沢市門東町3-2-56","","2021/10/05","米沢市"
"〇","","いろり庵ぼっち","イロリアン　ボッチ","9920601","川西町大字西大塚2963-25","","2021/08/03","川西町"
"","〇","岩清水料理の宿　季の里","イワシミズリョウリのヤド　キノサト","9902301","山形市蔵王温泉1271-20","","2021/06/14","山形市"
"〇","","いわた家","イワタヤ","9993702","東根市温泉町2-3-2","","2021/08/10","東根市"
"〇","","飲食処　隼","インショクドコロ　ハヤブサ","9910025","寒河江市八幡町1-20","","2021/07/19","寒河江市"
"〇","","印度れすとらん　カシミール鈴川","インドレストラン　カシミールスズカワ","9900062","山形市鈴川町3-4-10","ベルタウンC棟","2021/10/04","山形市"
"〇","","インドレストラン＆バー　カレーハウス","インドレストランアンドバーカレーハウス","9960002","新庄市金沢2002-1","","2021/06/23","新庄市"
"〇","","上杉城史苑　カフェ　ル・シエル","ウエスギジョウシエン　カフェルシエル","9920052","米沢市丸の内1-1-22","上杉城史苑内","2021/06/28","米沢市"
"〇","","上杉城史苑　レストラン「アビシス」","ウエスギジョウシエンレストランアビシス","9920052","米沢市丸の内1-1-22","上杉城史苑内","2021/06/28","米沢市"
"","〇","上杉の御湯　御殿守","ウエスギノオユ　ゴテンモリ","9992211","南陽市赤湯989","","2021/06/28","南陽市"
"〇","","上杉伯爵邸","ウエスギハクシャクテイ","9920052","米沢市丸の内1-3-60","","2021/08/02","米沢市"
"〇","","魚きがるに酒場","ウオキガルニサカバ","9900039","山形市香澄町2-1-2","","2021/05/28","山形市"
"〇","","魚きがるに炉端","ウオキガルニロバタ","9902435","山形市青田4-4-17","","2021/05/26","山形市"
"〇","","魚井（うおせい）","ウオセイ","9990604","飯豊町椿4477","","2021/09/14","飯豊町"
"〇","","魚民　新庄西口駅前店","ウオタミ　シンジョウニシグチエキマエテン","9960023","新庄市沖の町2-26 ","玄柳館ホテル1F","2021/10/19","新庄市"
"〇","","魚民 南陽赤湯店","ウオタミ　ナンヨウアカユテン","9992241","南陽市郡山598-3","","2021/10/12","南陽市"
"〇","","魚民 村山東口駅前店","ウオタミ　ムラヤマヒガシグチエキマエテン","9950034","村山市楯岡五日町9-33","松岡ビル 1F","2021/10/21","村山市"
"〇","","魚民　山形駅前店","ウオタミ　ヤマガタエキマエテン","9900039","山形市香澄町1-15-28","ホテルニュー最上屋地下1F","2021/10/15","山形市"
"〇","","魚民　米沢中央店","ウオタミ　ヨネザワチュウオウテン","9920039","米沢市門東町3-2-58","32.モンテローザ米沢ビル 2F","2021/10/25","米沢市"
"〇","","牛若丸","ウシワカマル","9993711","東根市中央2-11-5","","2021/10/18","東根市"
"〇","","うちなー酒家　ぶーさー","ウチナーサカヤ　ブーサー","9900039","山形市香澄町2-2-1","大久保ビル1F","2021/06/25","山形市"
"〇","","うどん匠　元","ウドンショウ　ゲン","9920039","米沢市門東町3-2-37","","2021/08/03","米沢市"
"〇","","うどんの大井","ウドンノオオイ","9997601","鶴岡市藤島字川向55-1","","2021/09/09","鶴岡市"
"〇","","うなぎ割烹　治郎兵衛","ウナギカッポウ　ジロベエ","9980037","酒田市日吉町2-1-32","","2021/07/02","酒田市"
"〇","","鰻・郷土料理　あげつま","ウナギキョウドリョウリアゲツマ","9900041","山形市緑町3-7-48","","2021/05/13","山形市"
"〇","","うなぎ若林","ウナギワカバヤシ","9970015","鶴岡市末広町11-9","","2021/06/14","鶴岡市"
"〇","〇","卯の花温泉　はぎ乃湯","ウノハナオンセン　ハギノユ","9930075","長井市成田2170-2","","2021/06/24","長井市"
"","〇","姥湯温泉　桝形屋","ウバユオンセン　マスガタヤ","9921303","米沢市大字大沢姥湯1","","2021/09/10","米沢市"
"〇","","うまい鮨勘　山形南支店","ウマイスシカン　ヤマガタミナミシテン","9902453","山形市若宮2-10-2","","2021/09/02","山形市"
"〇","","旨唐揚げと居酒メシ「ミライザカ」山形駅前大通り店","ウマカラアゲト イザカメシ「ミライザカ」ヤマガタ エキマエ オオドオリテン　","9900039","山形市香澄町3-2-1","山交ビルB1F","2021/08/06","山形市"
"","〇","海辺のお宿　一久","ウミベノオヤド　イッキュウ","9971201","鶴岡市湯野浜1-10-29","","2021/07/16","鶴岡市"
"","〇","海辺の宿　福住","ウミベノヤド　フクズミ","9971201","鶴岡市湯野浜1-9-31","","2021/06/29","鶴岡市"
"〇","","うめえ門","ウメエモン","9960041","新庄市鳥越栗田696-2","","2021/05/24","新庄市"
"〇","","梅の里ラーメン大吉","ウメノサトラーメンダイキチ","9995314","真室川町大字木ノ下979","","2021/05/19","真室川町"
"","〇","うめや旅館","ウメヤリョカン","9920076","米沢市小野川町2494","","2021/10/05","米沢市"
"〇","","漆山果樹園","ウルシヤマカジュエン","9992213","南陽市松沢202-1","","2021/07/06","南陽市"
"〇","","エアポートキッチン欅","エアポートキッチンケヤキ","9993776","東根市羽入柏原新林3008","山形空港2F","2021/06/30","東根市"
"〇","","榮玉堂","エイギョクドウ","9900047","山形市旅篭町2-1-45","","2021/08/06","山形市"
"〇","","栄幸亭","エイコウテイ","9902323","山形市桜田東3-8-5","","2021/08/25","山形市"
