"業種(飲食業）","業種（宿泊業）","施設名称","施設名称カナ","施設郵便番号","施設住所","施設住所(方書)","認証日","施設住所市町村"
"〇","","鉄板居酒屋　夢はな","テッパンイザカヤ　ユメハナ","9900042","山形市七日町2-1-14","","2021/06/28","山形市"
"〇","","鉄板焼　こみせん","テッパンヤキ　コミセン","9997781","庄内町余目猿田65","","2021/07/29","庄内町"
"〇","","鉄板焼じゅう兵衛","テッパンヤキジュウベエ","9920012","米沢市金池6-6-8","","2021/09/15","米沢市"
"〇","","てっぱん屋台　鈴木製作所","テッパンヤタイ　スズキセイサクジョ","9900042","山形市七日町2-1-14-6-6","山形屋台村ほっとなる横丁","2021/07/01","山形市"
"〇","","鉄板屋台　梅里","テッパンヤタイバイリ","9970034","鶴岡市本町1-8-16-101","","2021/06/23","鶴岡市"
"〇","","鉄道BAR　ロコモトラ","テツドウバー　ロコモトラ","9970809","鶴岡市苗津町3-13","","2021/06/09","鶴岡市"
"〇","","手作り工房　奈々ちゃん","テヅクリコウボウ　ナナチャン","9960051","新庄市大字松本62-11","","2021/05/28","新庄市"
"〇","","寺そば・寺カフェ（慈恩寺テラス内）","テラソバ・テラカフェ（ジオンジテラスナイ）","9900511","寒河江市慈恩寺1178-1","","2021/10/19","寒河江市"
"〇","","天金寿し","テンキンズシ","9950017","村山市楯岡十日町7-6","","2021/09/03","村山市"
"〇","","天童カントリークラブ","テンドウカントリークラブ","9940103","天童市大字川原子4278-103","","2021/08/23","天童市"
"〇","","天童城男寿し","テンドウジョウオトコズシ","9940027","天童市桜町8-12","","2021/09/27","天童市"
"","〇","天童荘","テンドウソウ","9940024","天童市鎌田2-2-18","","2021/06/10","天童市"
"〇","","天童荘ガーデンカフェ","テンドウソウガーデンカフェ","9940024","天童市鎌田2-1-56","","2021/06/10","天童市"
"〇","","天ぷら　あざらけ","テンプラ　アザラケ","9900827","山形市城南町2-11-3","オフィス福原Ⅲ 1Ｆ","2021/07/01","山形市"
"〇","","天ぷら　天海","テンプラ　アマミ","9900032","山形市小姓町8-4","","2021/07/15","山形市"
